legajo;concepto;fecha;cant
1646463;9000;16/02/2020;1
1646463;9000;17/02/2020;1
1646463;9000;18/02/2020;1
1646463;9000;19/02/2020;1
1646463;9000;20/02/2020;1
1646463;9000;21/02/2020;1
1646463;9000;22/02/2020;1
1646463;9000;23/02/2020;1
1711374;9001;07/02/2020;1
1711374;9001;08/02/2020;1
1711374;9001;09/02/2020;1
1711374;9001;10/02/2020;1
1711374;9001;11/02/2020;1
1711374;9001;12/02/2020;1
1711374;9001;13/02/2020;1
1711374;9001;14/02/2020;1
1711374;9001;15/02/2020;1
1711374;9001;16/02/2020;1
1711374;9000;18/02/2020;1
1711374;9000;19/02/2020;1
1711374;9000;20/02/2020;1
1711374;9000;21/02/2020;1
1711374;9000;22/02/2020;1
1711374;9000;23/02/2020;1
1711374;9000;24/02/2020;1
1711374;9000;25/02/2020;1
1711374;9000;26/02/2020;1
1711374;9000;27/02/2020;1
1711374;9000;28/02/2020;1
1711374;9000;29/02/2020;1
1711374;9000;01/03/2020;1
1711374;9000;02/03/2020;1
1693501;9000;07/02/2020;1
1693501;9000;08/02/2020;1
1693501;9000;09/02/2020;1
1693501;9001;06/03/2020;1
1787932;9001;22/02/2020;1
1730485;9001;28/02/2020;1
1730485;9006;04/03/2020;1
1730485;9001;06/03/2020;1
1709241;9001;18/02/2020;1
1709241;9001;19/02/2020;1
1710111;9000;02/03/2020;1
1710111;9000;03/03/2020;1
1710111;9000;04/03/2020;1
1710111;9000;05/03/2020;1
1710111;9000;06/03/2020;1
1748391;9000;02/03/2020;1
1748391;9000;03/03/2020;1
1748391;9000;04/03/2020;1
1748391;9000;05/03/2020;1
